Code Uc Uh Ct Cf 
1126 25.0  1.700000 0.500 0.0150
2821 25.0  1.700000 0.500 0.0150
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
1074 25.0  1.700000 0.5500 0.0200
 -9999 -99 -99 -99 -99
1185 25.0  1.700000 0.450 0.0500
1287 25.0  1.700000 0.300 0.0300
1112 25.0  2.700000 0.500 0.010
1283 25.0  1.700000 0.500 0.0050
1008 25.0  3.300000 0.500 0.0250
1291 25.0  2.700000 0.650 0.0050
1424 25.0  2.700000 0.500 0.0150
1016 25.0  2.700000 0.450 0.0300
1420 10.0  0.400000 0.400 0.0300
 -9999 -99 -99 -99 -99
1244 35.0  4.300000 0.650 0.0200
1240 35.0  4.300000 0.650 0.0200
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
1024 25.0  1.700000 0.500 0.0150
 -9999 -99 -99 -99 -99
1385 25.0  0.400000 0.300 0.0300
 -9999 -99 -99 -99 -99
1032 15.0  0.400000 0.300 0.0300
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
1040 -104.0 -99.300000 -99.100 -98.9900
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
1612 35.0  1.300000 0.400 0.0300
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
1605 20.0  2.300000 0.400 0.0300
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
 -9999 -99 -99 -99 -99
2937 15.0  0.700000 0.300 0.0200
1108 20.0  0.400000 0.300 0.0300
1537 10.0  0.400000 0.300 0.0100
 -9999 -99 -99 -99 -99
